track_id,fma_genre,mapped_genre
2,Hip-Hop,hip-hop
3,Hip-Hop,hip-hop
5,Hip-Hop,hip-hop
10,Pop,pop
134,Hip-Hop,hip-hop
135,Rock,rock
136,Rock,rock
137,Experimental,ambient
138,Experimental,ambient
139,Folk,folk
140,Folk,folk
141,Folk,folk
142,Folk,folk
144,Jazz,jazz
145,Jazz,jazz
146,Jazz,jazz
147,Jazz,jazz
148,Experimental,ambient
149,Experimental,ambient
150,Experimental,ambient
151,Rock,rock
152,Rock,rock
153,Rock,rock
154,Rock,rock
155,Rock,rock
156,Experimental,ambient
157,Experimental,ambient
158,Experimental,ambient
159,Experimental,ambient
160,Experimental,ambient
161,Experimental,ambient
162,Experimental,ambient
163,Experimental,ambient
164,Experimental,ambient
165,Experimental,ambient
166,Experimental,ambient
167,Experimental,ambient
168,Experimental,ambient
169,Rock,rock
170,Rock,rock
171,Rock,rock
172,Rock,rock
173,Rock,rock
174,Rock,rock
175,Rock,rock
176,Rock,rock
177,Rock,rock
178,Rock,rock
179,Rock,rock
181,Rock,rock
182,Rock,rock
183,Rock,rock
184,Rock,rock
188,Folk,folk
189,Folk,folk
190,Folk,folk
191,Folk,folk
192,Folk,folk
193,Folk,folk
194,Folk,folk
195,Folk,folk
196,Folk,folk
197,Folk,folk
198,Folk,folk
199,Folk,folk
200,Folk,folk
201,Folk,folk
202,Folk,folk
203,Folk,folk
204,Folk,folk
205,Folk,folk
206,Folk,folk
207,Folk,folk
208,Folk,folk
209,Folk,folk
210,Folk,folk
211,Folk,folk
212,Folk,folk
213,Pop,pop
226,Rock,rock
228,Rock,rock
237,Jazz,jazz
238,Jazz,jazz
247,Rock,rock
249,Rock,rock
252,Rock,rock
255,Rock,rock
256,Rock,rock
257,Rock,rock
258,Rock,rock
273,Experimental,ambient
274,Experimental,ambient
275,Experimental,ambient
276,Experimental,ambient
277,Experimental,ambient
281,Experimental,ambient
282,Experimental,ambient
284,Experimental,ambient
285,Experimental,ambient
293,Experimental,ambient
294,Experimental,ambient
297,Experimental,ambient
300,Experimental,ambient
303,Rock,rock
304,Rock,rock
305,Rock,rock
306,Rock,rock
307,Rock,rock
308,Rock,rock
309,Rock,rock
310,Rock,rock
311,Rock,rock
312,Rock,rock
313,Rock,rock
314,Rock,rock
315,Rock,rock
316,Rock,rock
317,Rock,rock
318,Rock,rock
319,Rock,rock
320,Rock,rock
321,Rock,rock
322,Rock,rock
323,Rock,rock
324,Rock,rock
325,Rock,rock
326,Rock,rock
327,Rock,rock
328,Rock,rock
330,Rock,rock
331,Rock,rock
332,Rock,rock
333,Rock,rock
334,Rock,rock
335,Rock,rock
336,Rock,rock
337,Rock,rock
338,Rock,rock
339,Rock,rock
340,Rock,rock
341,Rock,rock
342,Rock,rock
343,Rock,rock
344,Rock,rock
345,Rock,rock
346,Rock,rock
347,Rock,rock
348,Rock,rock
349,Rock,rock
350,Rock,rock
351,Rock,rock
352,Rock,rock
353,Rock,rock
354,Rock,rock
355,Rock,rock
356,Rock,rock
357,Rock,rock
358,Rock,rock
359,Rock,rock
360,Rock,rock
361,Rock,rock
362,Rock,rock
363,Rock,rock
364,Rock,rock
365,Rock,rock
366,Rock,rock
367,Rock,rock
368,Rock,rock
369,Rock,rock
370,Rock,rock
371,Rock,rock
384,Electronic,electronic
385,Electronic,electronic
386,Electronic,electronic
387,Electronic,electronic
393,Rock,rock
394,Rock,rock
395,Rock,rock
396,Electronic,electronic
397,Electronic,electronic
398,Electronic,electronic
399,Electronic,electronic
400,Electronic,electronic
401,Electronic,electronic
402,Electronic,electronic
403,Electronic,electronic
404,Electronic,electronic
405,Electronic,electronic
406,Electronic,electronic
407,Electronic,electronic
408,Electronic,electronic
410,Electronic,electronic
411,Electronic,electronic
412,Electronic,electronic
414,Electronic,electronic
416,Electronic,electronic
417,Experimental,ambient
419,Experimental,ambient
421,Experimental,ambient
424,Experimental,ambient
425,Experimental,ambient
426,Experimental,ambient
427,Experimental,ambient
428,Experimental,ambient
429,Experimental,ambient
430,Experimental,ambient
431,Experimental,ambient
432,Experimental,ambient
433,Experimental,ambient
434,Experimental,ambient
435,Experimental,ambient
436,Experimental,ambient
437,Experimental,ambient
438,Experimental,ambient
439,Experimental,ambient
458,Rock,rock
459,Rock,rock
466,Rock,rock
467,Rock,rock
468,Rock,rock
469,Rock,rock
470,Rock,rock
471,Rock,rock
472,Rock,rock
473,Rock,rock
474,Rock,rock
475,Rock,rock
476,Rock,rock
477,Rock,rock
478,Rock,rock
479,Rock,rock
480,Rock,rock
481,Rock,rock
482,Rock,rock
483,Rock,rock
484,Rock,rock
485,Rock,rock
486,Rock,rock
487,Rock,rock
489,Rock,rock
490,Rock,rock
491,Rock,rock
492,Rock,rock
493,Rock,rock
495,Rock,rock
496,Rock,rock
497,Rock,rock
498,Rock,rock
500,Rock,rock
501,Rock,rock
502,Rock,rock
503,Rock,rock
504,Rock,rock
506,Rock,rock
507,Rock,rock
508,Rock,rock
509,Rock,rock
510,Rock,rock
511,Rock,rock
512,Rock,rock
513,Rock,rock
514,Rock,rock
515,Rock,rock
516,Rock,rock
517,Rock,rock
520,Rock,rock
521,Rock,rock
522,Rock,rock
523,Rock,rock
524,Rock,rock
525,Rock,rock
526,Rock,rock
527,Rock,rock
528,Rock,rock
529,Rock,rock
530,Rock,rock
531,Rock,rock
532,Electronic,electronic
533,Electronic,electronic
534,Folk,folk
535,Folk,folk
536,Folk,folk
537,Folk,folk
538,Folk,folk
539,Folk,folk
540,Folk,folk
541,Folk,folk
542,Folk,folk
543,Folk,folk
544,Folk,folk
545,Folk,folk
546,Folk,folk
547,Folk,folk
548,Folk,folk
549,Folk,folk
550,Electronic,electronic
562,Rock,rock
563,Rock,rock
564,Rock,rock
565,Rock,rock
566,Rock,rock
567,Rock,rock
568,Rock,rock
569,Rock,rock
570,Rock,rock
571,Rock,rock
572,Rock,rock
573,Rock,rock
574,Rock,rock
575,Rock,rock
576,Rock,rock
577,Rock,rock
578,Rock,rock
579,Rock,rock
580,Rock,rock
583,Hip-Hop,hip-hop
584,Hip-Hop,hip-hop
585,Hip-Hop,hip-hop
586,Hip-Hop,hip-hop
587,Experimental,ambient
588,Experimental,ambient
589,Experimental,ambient
590,Jazz,jazz
591,Jazz,jazz
592,Jazz,jazz
593,Jazz,jazz
601,Folk,folk
602,Folk,folk
603,Folk,folk
604,Folk,folk
605,Rock,rock
606,Rock,rock
607,Rock,rock
608,Rock,rock
609,Rock,rock
610,Folk,folk
611,Folk,folk
612,Folk,folk
614,Folk,folk
615,Experimental,ambient
616,Experimental,ambient
617,Folk,folk
618,Folk,folk
619,Folk,folk
620,Folk,folk
621,Folk,folk
622,Folk,folk
623,Folk,folk
624,Folk,folk
625,Folk,folk
626,Folk,folk
627,Folk,folk
628,Folk,folk
629,Folk,folk
630,Folk,folk
631,Folk,folk
633,Rock,rock
634,Rock,rock
635,Rock,rock
637,Experimental,ambient
638,Experimental,ambient
639,Experimental,ambient
641,Electronic,electronic
642,Electronic,electronic
643,Electronic,electronic
644,Electronic,electronic
645,Electronic,electronic
646,Electronic,electronic
647,Electronic,electronic
648,Electronic,electronic
649,Electronic,electronic
650,Electronic,electronic
651,Electronic,electronic
652,Electronic,electronic
653,Electronic,electronic
654,Electronic,electronic
655,Electronic,electronic
656,Electronic,electronic
657,Electronic,electronic
658,Electronic,electronic
659,Electronic,electronic
660,Electronic,electronic
661,Electronic,electronic
662,Electronic,electronic
663,Electronic,electronic
664,Electronic,electronic
665,Electronic,electronic
666,International,indie
667,International,indie
668,Hip-Hop,hip-hop
669,Hip-Hop,hip-hop
670,Hip-Hop,hip-hop
671,Hip-Hop,hip-hop
672,Hip-Hop,hip-hop
673,Hip-Hop,hip-hop
674,Hip-Hop,hip-hop
675,Hip-Hop,hip-hop
676,Hip-Hop,hip-hop
677,Hip-Hop,hip-hop
678,Hip-Hop,hip-hop
679,Hip-Hop,hip-hop
680,Hip-Hop,hip-hop
681,Hip-Hop,hip-hop
682,Hip-Hop,hip-hop
683,Hip-Hop,hip-hop
684,Hip-Hop,hip-hop
685,Hip-Hop,hip-hop
686,Hip-Hop,hip-hop
687,Hip-Hop,hip-hop
688,Hip-Hop,hip-hop
689,Hip-Hop,hip-hop
690,Rock,rock
691,Rock,rock
692,Rock,rock
693,Rock,rock
694,Hip-Hop,hip-hop
695,Hip-Hop,hip-hop
696,Rock,rock
697,Rock,rock
698,Rock,rock
699,Rock,rock
700,Rock,rock
701,Rock,rock
702,Rock,rock
703,Rock,rock
704,International,indie
705,International,indie
706,International,indie
707,International,indie
708,International,indie
709,International,indie
711,Rock,rock
712,Rock,rock
713,Rock,rock
714,Folk,folk
715,Folk,folk
716,Folk,folk
717,Folk,folk
718,Folk,folk
719,Rock,rock
720,Rock,rock
721,Rock,rock
722,Rock,rock
723,Rock,rock
725,Experimental,ambient
726,Experimental,ambient
727,Experimental,ambient
728,Experimental,ambient
729,Experimental,ambient
730,Experimental,ambient
731,Experimental,ambient
734,Soul-RnB,soul
735,Soul-RnB,soul
736,Soul-RnB,soul
737,Soul-RnB,soul
738,Soul-RnB,soul
739,Soul-RnB,soul
740,Soul-RnB,soul
741,Soul-RnB,soul
742,Soul-RnB,soul
743,Soul-RnB,soul
744,Soul-RnB,soul
745,Soul-RnB,soul
747,Soul-RnB,soul
748,Soul-RnB,soul
749,Soul-RnB,soul
750,Soul-RnB,soul
751,Soul-RnB,soul
752,Soul-RnB,soul
753,Soul-RnB,soul
754,Soul-RnB,soul
755,Soul-RnB,soul
756,Soul-RnB,soul
757,Soul-RnB,soul
758,Soul-RnB,soul
759,Soul-RnB,soul
760,Soul-RnB,soul
761,Soul-RnB,soul
762,Soul-RnB,soul
763,Soul-RnB,soul
764,Soul-RnB,soul
765,Soul-RnB,soul
766,Soul-RnB,soul
767,Soul-RnB,soul
768,Soul-RnB,soul
769,Soul-RnB,soul
770,Soul-RnB,soul
771,Soul-RnB,soul
